"",""
"Action","Action"
"Add Template","Add Template"
"An error occurred while updating the templates.","An error occurred while updating the templates."
"Are you sure?","Are you sure?"
"Base URL","Base URL"
"CSV","CSV"
"Change status","Change status"
"Could not find template to delete.","Could not find template to delete."
"Created at","Created at"
"Delete Template","Delete Template"
"Delete","Delete"
"Disabled","Disabled"
"Edit Template '%s'","Edit Template '%s'"
"Edit","Edit"
"Enabled","Enabled"
"Error saving template","Error saving template"
"Excel","Excel"
"Full Action Name Pattern","Full Action Name Pattern"
"Home","Home"
"Id","Id"
"Lifetime","Lifetime"
"No","No"
"None","None"
"Please select templates to delete.","Please select templates to delete."
"Please select templates.","Please select templates."
"Priority","Priority"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Template","Save Template"
"Source Content","Source Content"
"Source URL","Source URL"
"Status","Status"
"Store views","Store views"
"Template was saved","Template was saved"
"Template was successfully deleted.","Template was successfully deleted."
"Template was successfully saved","Template was successfully saved"
"Template","Template"
"Templates","Templates"
"The templates has been deleted.","The templates has been deleted."
"There was a problem saving the template.","There was a problem saving the template."
"There was an error deleting template.","There was an error deleting template."
"There was an error deleting templates.","There was an error deleting templates."
"There was an error updating templates.","There was an error updating templates."
"This template no longer exists.","This template no longer exists."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d templates were successfully deleted.","Total of %d templates were successfully deleted."
"Total of %d templates were successfully updated.","Total of %d templates were successfully updated."
"Unable to find template to save.","Unable to find template to save."
"Updated at","Updated at"
"WYSIWYG Editor","WYSIWYG Editor"
"XML","XML"
"Yes","Yes"